n_games,score,best,avg,epsilon
829,26,55,14.3088,5
830,19,55,14.3145,5
831,6,55,14.3045,5
832,9,55,14.2981,5
833,9,55,14.2917,5
834,17,55,14.2950,5
835,14,55,14.2946,5
836,21,55,14.3026,5
837,20,55,14.3094,5
838,30,55,14.3282,5
839,7,55,14.3194,5
840,25,55,14.3321,5
841,12,55,14.3294,5
842,11,55,14.3254,5
843,32,55,14.3464,5
844,10,55,14.3412,5
845,5,55,14.3302,5
846,4,55,14.3180,5
847,10,55,14.3129,5
848,10,55,14.3078,5
849,15,55,14.3086,5
850,7,55,14.3000,5
851,9,55,14.2938,5
852,18,55,14.2981,5
853,14,55,14.2978,5
854,6,55,14.2881,5
855,40,55,14.3181,5
856,3,55,14.3049,5
857,4,55,14.2929,5
858,1,55,14.2774,5
859,44,55,14.3120,5
860,35,55,14.3360,5
861,21,55,14.3438,5
862,43,55,14.3770,5
863,5,55,14.3662,5
864,10,55,14.3611,5
865,4,55,14.3491,5
866,30,55,14.3672,5
867,12,55,14.3645,5
868,18,55,14.3687,5
869,22,55,14.3774,5
870,7,55,14.3690,5
871,18,55,14.3731,5
872,25,55,14.3853,5
873,15,55,14.3860,5
874,19,55,14.3913,5
875,15,55,14.3920,5
876,5,55,14.3813,5
877,8,55,14.3740,5
878,11,55,14.3702,5
879,9,55,14.3641,5
880,6,55,14.3545,5
881,26,55,14.3678,5
882,13,55,14.3662,5
883,25,55,14.3783,5
884,10,55,14.3733,5
885,3,55,14.3605,5
886,6,55,14.3510,5
887,19,55,14.3563,5
888,18,55,14.3604,5
889,25,55,14.3723,5
890,37,55,14.3978,5
891,28,55,14.4130,5
892,16,55,14.4148,5
893,27,55,14.4289,5
894,10,55,14.4239,5
895,3,55,14.4112,5
896,19,55,14.4163,5
897,27,55,14.4303,5
898,10,55,14.4254,5
899,14,55,14.4249,5
900,21,55,14.4322,5
901,40,55,14.4606,5
902,28,55,14.4756,5
903,33,55,14.4961,5
904,8,55,14.4889,5
905,12,55,14.4862,5
906,5,55,14.4757,5
907,31,55,14.4939,5
908,26,55,14.5066,5
909,3,55,14.4939,5
910,23,55,14.5033,5
911,30,55,14.5203,5
912,9,55,14.5143,5
913,23,55,14.5235,5
914,31,55,14.5416,5
915,10,55,14.5366,5
916,22,55,14.5448,5
917,17,55,14.5474,5
918,9,55,14.5414,5
919,12,55,14.5386,5
920,7,55,14.5304,5
921,12,55,14.5277,5
922,33,55,14.5477,5
923,39,55,14.5742,5
924,16,55,14.5758,5
925,11,55,14.5719,5
926,16,55,14.5734,5
927,13,55,14.5717,5
928,8,55,14.5647,5
929,1,55,14.5501,5
930,2,55,14.5366,5
931,19,55,14.5414,5
932,16,55,14.5429,5
933,32,55,14.5616,5
934,3,55,14.5493,5
935,23,55,14.5583,5
936,41,55,14.5865,5
937,7,55,14.5784,5
938,9,55,14.5725,5
939,6,55,14.5634,5
940,26,55,14.5755,5
941,23,55,14.5845,5
942,28,55,14.5987,5
943,10,55,14.5938,5
944,29,55,14.6091,5
945,27,55,14.6222,5
946,28,55,14.6364,5
947,13,55,14.6346,5
948,14,55,14.6340,5
949,23,55,14.6428,5
950,13,55,14.6411,5
951,7,55,14.6330,5
952,34,55,14.6534,5
953,28,55,14.6674,5
954,21,55,14.6740,5
955,22,55,14.6817,5
956,12,55,14.6789,5
957,29,55,14.6938,5
958,6,55,14.6848,5
959,23,55,14.6934,5
960,22,55,14.7010,5
961,0,55,14.6857,5
962,38,55,14.7100,5
963,2,55,14.6968,5
964,16,55,14.6981,5
965,19,55,14.7026,5
966,1,55,14.6884,5
967,7,55,14.6805,5
968,39,55,14.7056,5
969,1,55,14.6914,5
970,4,55,14.6804,5
971,21,55,14.6869,5
972,35,55,14.7078,5
973,23,55,14.7163,5
974,19,55,14.7207,5
975,10,55,14.7159,5
976,32,55,14.7336,5
977,13,55,14.7318,5
978,18,55,14.7352,5
979,2,55,14.7222,5
980,36,55,14.7439,5
981,12,55,14.7411,5
982,15,55,14.7413,5
983,7,55,14.7335,5
984,20,55,14.7388,5
985,30,55,14.7543,5
986,5,55,14.7444,5
987,30,55,14.7599,5
988,15,55,14.7601,5
989,1,55,14.7462,5
990,33,55,14.7646,5
991,16,55,14.7659,5
992,14,55,14.7651,5
993,16,55,14.7664,5
994,5,55,14.7565,5
995,21,55,14.7628,5
996,5,55,14.7530,5
997,12,55,14.7503,5
998,21,55,14.7565,5
999,16,55,14.7578,5
1000,31,55,14.7740,5
1001,9,55,14.7682,5
1002,16,55,14.7695,5
1003,14,55,14.7687,5
1004,22,55,14.7759,5
1005,9,55,14.7701,5
1006,12,55,14.7674,5
1007,3,55,14.7557,5
1008,16,55,14.7569,5
1009,0,55,14.7423,5
1010,5,55,14.7327,5
1011,5,55,14.7230,5
1012,17,55,14.7253,5
1013,30,55,14.7404,5
1014,12,55,14.7377,5
1015,4,55,14.7271,5
1016,7,55,14.7195,5
1017,25,55,14.7296,5
1018,3,55,14.7181,5
1019,9,55,14.7125,5
1020,13,55,14.7108,5
1021,1,55,14.6974,5
1022,19,55,14.7016,5
1023,20,55,14.7067,5
1024,6,55,14.6982,5
1025,2,55,14.6859,5
1026,49,55,14.7193,5
1027,2,55,14.7069,5
1028,9,55,14.7014,5
1029,20,55,14.7065,5
1030,4,55,14.6961,5
1031,16,55,14.6974,5
1032,9,55,14.6919,5
1033,12,55,14.6893,5
1034,30,55,14.7041,5
1035,10,55,14.6995,5
1036,21,55,14.7056,5
1037,7,55,14.6982,5
1038,23,55,14.7062,5
1039,7,55,14.6987,5
1040,10,55,14.6942,5
1041,9,55,14.6888,5
1042,8,55,14.6823,5
1043,14,55,14.6817,5
1044,1,55,14.6686,5
1045,9,55,14.6632,5
1046,13,55,14.6616,5
1047,18,55,14.6648,5
1048,32,55,14.6813,5
1049,21,55,14.6873,5
1050,21,55,14.6933,5
1051,11,55,14.6898,5
1052,0,55,14.6759,5
1053,20,55,14.6809,5
1054,7,55,14.6736,5
1055,21,55,14.6796,5
1056,14,55,14.6790,5
1057,22,55,14.6859,5
1058,13,55,14.6843,5
1059,5,55,14.6752,5
1060,17,55,14.6774,5
1061,26,55,14.6880,5
1062,10,55,14.6836,5
1063,1,55,14.6707,5
1064,28,55,14.6833,5
1065,6,55,14.6751,5
